ID,Player,Team,Location,Position,Salary,Age,GamesPlayed,Minutes,PointsPerGame,FGMade,FGAttempted,ThreesMade,ThreesAttempted,FTMade,FTAttempted,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,TurnOvers,Efficiency,Fouls
125,Devonte' Graham,CHA,Charlotte Hornets,Point Guard,1416852,25,63,24.2,18.7,5.6,12,2.1,5.6,1.9,2.3,0.7,1.9,2.7,2,0.7,0.2,1.3,12.6,1.7
126,Dewan Hernandez,TOR,Toronto Raptors,Center,898310,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Dewayne Dedmon,ATL,Atlanta Hawks,Center,13333333,30,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
128,Dillon Brooks,MEM,Memphis Grizzlies,Shooting Guard,1618520,24,59,27.3,13.2,4.8,11.9,1.7,4.6,3.8,4.3,0.7,3.7,4.4,2.9,1,0.3,1.4,14.7,4
129,Dion Waiters,LAL,Los Angeles Lakers,Shooting Guard,375385,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Domantas Sabonis,IND,Indiana Pacers,Power Forward,3529555,24,58,33,0,5.7,12.7,1.9,5,1.8,2.3,1.3,5,6.3,3.7,1.1,0.5,1.5,17.5,0
131,Donovan Mitchell,UTA,Utah Jazz,Shooting Guard,3635760,23,62,34.5,24.7,5.7,8.2,0,0,3.7,5.9,3.4,10.3,13.7,1.5,0.8,2,1.9,26.4,2.3
132,Donta Hall,DET,Detroit Pistons,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Donte DiVincenzo,MIL,Milwaukee Bucks,Shooting Guard,2905800,23,54,26.4,8.6,4.6,10.3,2.9,6.4,2.7,3,0.2,2.4,2.6,2,0.4,0.2,1.2,12.8,1.7
134,Dorian Finney-Smith,DAL,Dallas Mavericks,Small Forward,4000000,27,62,26.3,8.4,6.2,10.6,0.5,1.3,2,2.7,3.1,8.2,11.2,1.8,0.4,1.1,1.7,22.5,2
135,Doug McDermott,IND,Indiana Pacers,Small Forward,7333333,28,63,27.3,8.8,5,12.3,2.6,7.2,2.2,2.6,0.2,3,3.2,1.2,1.1,0.3,1,11.9,1.8
136,Dragan Bender,GSW,Golden State Warriors,Small Forward,1678854,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Draymond Green,GSW,Golden State Warriors,Power Forward,18539130,30,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6
138,Drew Eubanks,SAS,San Antonio Spurs,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Duncan Robinson,MIA,Miami Heat,Shooting Guard,1416852,26,50,29.8,11.2,5,11.8,2.2,6.3,2.5,3.1,1.2,5.1,6.3,1.5,0.8,0.5,1.6,14.8,2.7
140,Dusty Hannahs,MEM,Memphis Grizzlies,,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Dwayne Bacon,CHA,Charlotte Hornets,Shooting Guard,1618520,24,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
142,Dwight Howard,LAL,Los Angeles Lakers,Center,1620564,34,64,34.9,7,5.1,11.1,1.5,3.8,3.1,3.8,1,3.8,4.8,2.4,0.6,0.2,1.3,14.6,3.7
143,Dwight Powell,DAL,Dallas Mavericks,Center,10259375,28,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
144,Dzanan Musa,BKN,Brooklyn Nets,Shooting Guard,1911600,21,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
145,Ed Davis,UTA,Utah Jazz,Center,4767000,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Edmond Sumner,IND,Indiana Pacers,Point Guard,2000000,24,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
147,Elfrid Payton,NYK,New York Knicks,Point Guard,8000000,26,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
148,Elie Okobo,PHX,Phoenix Suns,Small Forward,1416852,22,53,28.5,4.5,5.2,12.1,2.6,7.2,1.4,2,0.3,2.9,3.2,3.2,1,0.3,1.7,13.1,0.6
149,Emmanuel Mudiay,UTA,Utah Jazz,Point Guard,1620564,24,58,33,7.2,5.4,12.5,1.2,3.9,2.4,3.5,1.8,5.8,7.6,3.7,0.9,0.6,1.6,17.3,1.5
150,Enes Kanter,BOS,Boston Celtics,Center,4767000,28,56,30.4,7.3,5.2,13,1.1,3.5,2.8,4.5,0.9,4.1,5,2.6,1,0.3,2.2,11.4,1.1
151,Eric Bledsoe,MIL,Milwaukee Bucks,Point Guard,15625000,30,60,27.6,15.2,5.3,10.7,0.6,2.2,2.7,3.5,1.4,3.2,4.6,2.1,0.5,0.2,1.6,13.7,2.5
152,Eric Gordon,HOU,Houston Rockets,Shooting Guard,14057730,31,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
153,Eric Mika,SAC,Sacramento Kings,,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Eric Paschall,GSW,Golden State Warriors,Power Forward,898310,23,63,30.9,17.3,5.3,11.2,2.4,5.9,1,1.3,1,3.4,4.3,2.1,0.6,0.3,1.5,13.4,2
155,Ersan Ilyasova,MIL,Milwaukee Bucks,Power Forward,7000000,33,48,30.7,6.8,5.1,12,1.5,4.5,2.1,2.7,0.8,2.6,3.4,3.1,0.9,0.7,1.9,12.6,1.7
156,E'Twaun Moore,NOP,New Orleans Pelicans,Shooting Guard,8664928,31,53,32.5,9.6,4.5,11.9,2.4,6.9,2,2.4,0.8,3.1,3.8,4.8,1.6,0.5,1.7,14.8,1.7
157,Evan Fournier,ORL,Orlando Magic,Shooting Guard,17150000,27,65,30,19.8,4.4,9.4,3.7,8.4,0.7,0.8,0.1,3.1,3.3,1.4,0.5,0.2,0.9,12.7,2.2
158,Evan Turner,MIN,Minnesota Timberwolves,Shooting Guard,18606556,31,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
159,Frank Jackson,NOP,New Orleans Pelicans,Point Guard,1618520,22,65,25.8,7.5,4.8,12.2,2,5.8,1.6,2,0.4,3.1,3.5,2.7,0.8,0.1,1.7,10.8,1.6
160,Frank Kaminsky,PHX,Phoenix Suns,Center,4767000,27,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
161,Frank Mason,MIL,Milwaukee Bucks,,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Frank Ntilikina,NYK,New York Knicks,Point Guard,4855800,21,62,21.4,6.5,4.6,8.2,0.9,2.3,2.9,3.9,1.7,4.6,6.3,1,0.5,0.9,1.4,15.8,2.7
163,Fred VanVleet,TOR,Toronto Raptors,Shooting Guard,9346153,26,57,31.6,18.6,4.4,10.7,1.2,3.3,3.1,3.6,0.7,3.9,4.6,8.9,1.5,0.2,2.7,18.8,2.4
164,Furkan Korkmaz,PHI,Philadelphia 76ers,Shooting Guard,1620564,22,65,30.7,9.1,4.9,11.6,1.5,4.6,1.6,2,1.4,4.2,5.6,1.8,0.6,0.7,1.5,13.1,1.8
165,Gabe Vincent,MIA,Miami Heat,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Garrett Temple,BKN,Brooklyn Nets,Shooting Guard,4767000,34,47,27.2,10.1,4.7,11.3,2.1,5.4,1.4,1.7,0.3,3.7,4,1.9,0.6,0.1,1.5,11.1,2.1
167,Garrison Mathews,WAS,Washington Wizards,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Gary Clark,ORL,Orlando Magic,,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Gary Harris,DEN,Denver Nuggets,Shooting Guard,17839286,25,62,30.1,11,4.5,10.5,2.4,6.8,1.4,1.7,0.9,5.5,6.4,1.2,1.5,1.3,1.5,15.4,2.2
170,Gary Payton II,WAS,Washington Wizards,Point Guard,1052909,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Gary Trent Jr.,POR,Portland Trail Blazers,Shooting Guard,1416852,21,49,29,0,4.3,10.4,1.7,4.9,2.2,2.6,0.7,4.2,4.9,2.7,1,0.1,1.4,13.6,0
172,George Hill,MIL,Milwaukee Bucks,Point Guard,9133907,34,59,24.5,9.6,4.5,9,2.3,5.1,1.3,1.5,0.4,1.9,2.4,2,0.6,0.1,1,11.9,1.6
173,Georges Niang,UTA,Utah Jazz,Small Forward,1645357,26,46,28.1,4,4.7,10.4,1.2,3.4,2,2.4,0.5,3.8,4.3,2.1,1.2,0.5,1.1,13.5,1.4
174,Giannis Antetokounmpo,MIL,Milwaukee Bucks,Power Forward,25842697,25,54,24.6,31,4.7,10.9,1.3,4.4,1.8,2.4,0.9,3.6,4.5,1.3,0.4,0.4,1.6,10.6,3.2
175,Glenn Robinson III,PHI,Philadelphia 76ers,Small Forward,1620564,26,56,32.4,0,4.6,11.2,2.5,6.5,0.7,1.2,1.1,5.1,6.2,7,1.4,0.5,3.1,17.4,0
176,Goga Bitadze,IND,Indiana Pacers,Center,2816760,20,63,32,4.7,4.4,10.8,1.7,4.8,1.7,2.3,0.7,3.8,4.5,1.8,0.7,0.3,1.6,11.1,2.1
177,Goran Dragic,MIA,Miami Heat,Point Guard,19217900,34,59,30.9,15.9,4.7,11.8,1.8,5,1.1,1.2,0.5,1.4,1.9,3.9,0.7,0.1,2.6,9.1,1.8
178,Gordon Hayward,BOS,Boston Celtics,Small Forward,32700690,30,58,30.3,18.9,4.6,10.2,1.5,4,1.5,2.3,1,4.4,5.4,2.1,0.9,0.8,1.6,13.5,1.9
179,Gorgui Dieng,MEM,Memphis Grizzlies,Center,16229213,30,56,31.4,5.1,4.5,10.9,2.3,6,0.9,1.1,0.6,3.4,4.1,3.8,0.9,0.5,1.6,13.3,1.4
180,Grant Williams,BOS,Boston Celtics,Power Forward,2379840,21,64,29,2.2,4.3,11.5,2.3,6.7,1.1,1.4,0.8,5.2,6,1.8,0.9,0.4,2,11.7,1.9
181,Grayson Allen,MEM,Memphis Grizzlies,Shooting Guard,2429400,24,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
182,Hamidou Diallo,OKC,Oklahoma City Thunder,Shooting Guard,1416852,21,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
183,Harrison Barnes,SAC,Sacramento Kings,Small Forward,24147727,28,64,28.3,16.2,5,10.6,0.5,1.8,1.6,2.2,0.5,2.8,3.3,5.2,1.3,0.2,2,13.8,1.3
184,Harry Giles III,SAC,Sacramento Kings,Center,2578800,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Hassan Whiteside,POR,Portland Trail Blazers,Center,27093017,31,50,21.7,15.3,5.1,8.2,0.4,1,1.5,1.9,1.6,4.3,5.8,1.4,0.5,0.8,0.9,16.3,3
186,Henry Ellenson,BKN,Brooklyn Nets,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Ian Mahinmi,WAS,Washington Wizards,Center,15450051,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Ignas Brazdeikis,NYK,New York Knicks,Small Forward,898310,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Iman Shumpert,BKN,Brooklyn Nets,Shooting Guard,1419138,29,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
190,Isaac Bonga,WAS,Washington Wizards,Small Forward,1416842,20,60,30.8,3.9,4.8,10.9,1.5,4.4,0.9,1.2,1.5,5.3,6.9,4.1,0.9,0.9,1.1,17.3,2
191,Isaiah Hartenstein,HOU,Houston Rockets,Center,1416852,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Isaiah Roby,OKC,Oklahoma City Thunder,Small Forward,1500000,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Isaiah Thomas,WAS,Washington Wizards,Point Guard,1620564,31,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
194,Ish Smith,WAS,Washington Wizards,Point Guard,6000000,31,57,30.2,8,5.1,9.9,0.2,0.4,1.7,2.8,4,6.2,10.1,2.1,0.6,0.9,1.8,18,1.7
195,Ivica Zubac,LAC,LA Clippers,Center,6481482,23,64,28.5,8,4.5,9.4,2,4.6,0.9,1.1,1.7,4.8,6.4,2.8,0.8,0.5,1.4,15.9,2.5
196,J.J. Barea,DAL,Dallas Mavericks,Point Guard,1620564,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,J.P. Macura,CLE,Cleveland Cavaliers,,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Ja Morant,MEM,Memphis Grizzlies,Point Guard,8730240,20,55,29.6,18.6,4.2,9.4,1.4,4.2,2,2.6,1.3,5.3,6.5,1.1,0.8,2.2,1.2,15.4,1.7
199,Jabari Parker,SAC,Sacramento Kings,Power Forward,6500000,25,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
200,Jacob Evans,MIN,Minnesota Timberwolves,Shooting Guard,1925880,22,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
201,Jae Crowder,MIA,Miami Heat,Small Forward,7815533,29,60,29.1,10.8,4.7,9.6,1.2,3.2,1.2,1.4,1.3,3,4.3,1.6,0.9,0.3,0.9,12.9,2
202,Jahlil Okafor,NOP,New Orleans Pelicans,Center,1702486,24,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
203,JaKarr Sampson,IND,Indiana Pacers,Small Forward,1620564,27,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6
204,Jake Layman,MIN,Minnesota Timberwolves,Small Forward,3581986,26,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
205,Jakob Poeltl,SAS,San Antonio Spurs,Center,3754886,24,63,22.7,5.7,3.9,9.1,2.3,6.2,1.5,1.7,0.3,1.3,1.6,1.8,0.8,0.1,0.8,9.7,1.9
206,Jalen Brunson,DAL,Dallas Mavericks,Point Guard,1416852,23,64,26.2,7.5,4.1,8.7,1.4,3.4,2,2.7,0.8,2.7,3.5,1.2,0.7,0.8,0.9,11.7,1.2
207,Jalen Lecque,PHX,Phoenix Suns,Point Guard,898310,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Jalen McDaniels,CHA,Charlotte Hornets,Power Forward,898310,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Jamal Murray,DEN,Denver Nuggets,Point Guard,4444746,23,63,25.1,18.7,3.8,9.2,2.3,6,1.2,1.4,0.2,1.8,2,1.7,0.5,0,0.9,8.9,1.9
210,James Ennis III,ORL,Orlando Magic,Small Forward,1882867,29,55,22,0,4.1,9.7,1.9,5,1,1.2,0.3,2.4,2.7,1.4,0.7,0.1,1,9.3,0
211,James Harden,HOU,Houston Rockets,Shooting Guard,38199000,30,58,23.1,39.5,4.3,8.3,0.3,1.3,2.1,3.1,2.8,4.3,7.1,1.5,0.7,0.4,1.3,14.6,3.1
212,James Johnson,MIN,Minnesota Timberwolves,Power Forward,15349400,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,JaMychal Green,LAC,LA Clippers,Power Forward,4767000,29,65,29.4,7.7,4.1,9.4,1.9,4.9,1,1.4,0.6,3,3.6,2.4,0.8,0.2,1.4,10.9,2.5
214,Jared Dudley,LAL,Los Angeles Lakers,Small Forward,1620564,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Jared Harper,PHX,Phoenix Suns,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Jaren Jackson Jr.,MEM,Memphis Grizzlies,Power Forward,6927480,20,61,26.6,0,4,9.4,1.4,4.7,1.6,2,0.7,3.8,4.5,1.6,0.7,2.4,1,13.4,0
217,Jarred Vanderbilt,MIN,Minnesota Timberwolves,Power Forward,1416852,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Jarrell Brantley,UTA,Utah Jazz,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Jarrett Allen,BKN,Brooklyn Nets,Center,2376840,22,58,27,12,4.5,7.6,0,0.1,1.9,3.2,3.4,6,9.4,2.4,0.9,1.1,1.5,18.8,2.6
220,Jarrett Culver,MIN,Minnesota Timberwolves,Shooting Guard,5813640,21,59,24.8,9.2,3.6,8.3,0.7,2,2.9,3.3,0.5,1.9,2.4,5.2,0.7,0.3,2,12.5,2.1
221,Jarrod Uthoff,MEM,Memphis Grizzlies,,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,JaVale McGee,LAL,Los Angeles Lakers,Center,4000000,32,63,30.1,7,4.2,8.4,1.3,3.4,0.9,1.4,1.2,4.2,5.4,1.6,1.4,0.7,1.2,14,2.1
223,Javonte Green,BOS,Boston Celtics,Shooting Guard,898310,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Jaxson Hayes,NOP,New Orleans Pelicans,Center,4862040,20,58,24.9,8.3,4.4,9.3,0.6,1.6,1.3,1.6,1.2,4.6,5.8,4.1,1.7,0.3,1.9,15.5,3.1
225,Jaylen Brown,BOS,Boston Celtics,Shooting Guard,6534829,23,64,25.7,19.9,4.2,6.5,0,0.1,2.3,3.7,3,6.4,9.5,1.3,0.6,1.3,1.1,18.5,3.1
226,Jaylen Hoard,POR,Portland Trail Blazers,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Jaylen Nowell,MIN,Minnesota Timberwolves,Shooting Guard,1400000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Jayson Tatum,BOS,Boston Celtics,Power Forward,7830000,22,58,26.7,20.9,3.7,9.6,1.4,4.3,1.7,2.2,0.6,3.1,3.7,1.5,1.1,0.5,1.7,9.3,2.4
229,Jeff Green,HOU,Houston Rockets,Power Forward,439475,33,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
230,Jeff Teague,ATL,Atlanta Hawks,Point Guard,19000000,32,60,26.2,11.8,4.4,9.7,0.9,2.5,0.8,1.2,0.5,2.7,3.2,4.8,0.9,0.4,1.3,12.7,2.2
231,Jerami Grant,DEN,Denver Nuggets,Power Forward,9346153,26,49,24.8,9.1,3.2,8.1,1.2,3.6,2.8,3.2,0.4,1.9,2.2,4.6,0.6,0,1.4,11.1,1.7
232,Jeremiah Martin,BKN,Brooklyn Nets,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Jeremy Lamb,IND,Indiana Pacers,Shooting Guard,10500000,28,58,29.2,16.6,3.4,8.8,1.9,6.1,1.6,2.1,0.8,5.3,6.1,2.6,1.2,0.4,1.1,13.6,2.2
234,Jeremy Pargo,GSW,Golden State Warriors,,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Jerome Robinson,WAS,Washington Wizards,Shooting Guard,3567720,23,61,24.1,3.8,3.5,7.6,0.9,2.6,2.5,2.9,0.5,2.7,3.2,3.4,0.6,0.9,1.2,12.7,1.4
236,Jevon Carter,PHX,Phoenix Suns,Point Guard,1416852,24,56,31.8,4.1,3.9,9.3,1.3,3.8,1.3,1.6,0.5,2.4,2.9,2.1,1.4,0.3,1.1,10.3,1.6
237,Jimmy Butler,MIA,Miami Heat,Small Forward,32742000,30,62,20,20.1,3.9,7.9,1.9,4.3,0.7,0.8,0.4,2.1,2.5,1.1,0.1,0.1,0.6,9.4,1.2
238,JJ Redick,NOP,New Orleans Pelicans,Shooting Guard,13486300,35,51,24.2,0,3.3,8.1,1.4,4.4,2.3,2.8,0.5,2.4,2.9,5,1.3,0.2,2.2,12.2,0
239,Joe Chealey,CHA,Charlotte Hornets,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Joe Harris,BKN,Brooklyn Nets,Small Forward,7666667,28,64,24.9,14.5,4.2,9.4,1.2,3.5,0.7,1.1,1.5,3.5,4.9,1.8,1.4,0.4,1.6,11.6,2.5
241,Joe Ingles,UTA,Utah Jazz,Shooting Guard,11954546,32,66,25.8,7.2,3.6,8.2,2,5,1.1,1.3,0.5,1.8,2.3,1.5,0.7,0.2,0.6,9.5,2.3
242,Joel Embiid,PHI,Philadelphia 76ers,Center,27504630,26,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
243,John Collins,ATL,Atlanta Hawks,Power Forward,2686560,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4
244,John Henson,DET,Detroit Pistons,Power Forward,9732396,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,John Konchar,MEM,Memphis Grizzlies,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Johnathan Motley,LAC,LA Clippers,,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Johnathan Williams,WAS,Washington Wizards,,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Jonah Bolden,PHX,Phoenix Suns,Power Forward,1698450,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Jonas Valanciunas,MEM,Memphis Grizzlies,Center,16000000,28,55,28.1,14.5,3.6,9.5,2,6.3,1,1.3,0.5,2.9,3.5,2.6,0.8,0.5,1,10.3,2.7
250,Jonathan Isaac,ORL,Orlando Magic,Power Forward,5806440,22,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
251,Jordan Bell,MEM,Memphis Grizzlies,Forward,1620564,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Jordan Bone,DET,Detroit Pistons,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Jordan Clarkson,UTA,Utah Jazz,Point Guard,13437500,28,55,21.3,13.9,3.9,8.9,1.1,3.7,1.5,1.8,0.5,2.4,2.9,2.1,0.5,0.3,1.4,9.2,1.2
254,Jordan McLaughlin,MIN,Minnesota Timberwolves,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
